000001,40.2616,45.7627
000002,50.8368,74.0393
000004,57.3460,-16.9291
000005,-20.1124,50.3378
000006,5.0201,77.0278
000007,63.1236,-7.4297
000008,94.8195,-11.1576
000009,37.0690,54.6667
000010,80.9080,-1.2644
000011,5.1495,39.8374
000012,61.4860,-9.0156
000014,28.6614,32.6838
000016,13.6415,13.8329
000017,0.0000,0.0000
000018,33.6493,-29.1153
000019,80.0340,34.2075
000020,18.1388,69.0667
000021,16.0332,9.4086
000022,2.9207,10.5769
000023,25.8772,17.0049
000024,20.5703,72.4509
000025,-6.7600,141.1160
000026,-0.1870,20.7831
000027,8.9301,79.3212
000028,118.2002,-4.6789
000029,13.3523,3.2258
000030,0.0000,0.0000
000031,40.1200,72.0152
000032,78.5714,-4.7532
000033,-1.9608,27.0463
000034,34.6056,7.9670
000035,2.8634,-5.0209
000036,19.4118,-16.2562
000037,38.2979,-20.5314
000038,-200,-200
000039,-11.7326,45.2841
000040,31.9055,14.1653
000042,-14.3864,64.7330
000043,7.2008,31.8003
000045,43.4564,-21.0596
000046,31.9223,33.8898
000048,10.8571,4.5817
000049,27.4576,1.7952
000050,48.3158,-15.5620
000055,32.2327,-11.8812
000056,61.6454,1.6490
000058,53.4636,-4.7377
000059,23.0392,17.9632
000060,51.6724,20.9191
000061,31.8721,25.5014
000062,57.8546,-28.5211
000063,17.4050,23.9180
000065,74.7225,8.8488
000066,21.9701,18.1287
000068,35.7137,-11.0981
000069,26.2563,101.7884
000070,-29.0541,75.1479
000078,34.0267,35.6538
000088,3.0228,13.8305
000089,27.3273,9.0180
000090,1.2440,28.6193
000096,100.7480,-13.5174
000099,44.0856,5.2482
000100,20.1646,3.1847
000150,-20.8084,74.1851
000151,60.4423,-3.6163
000153,22.8571,-0.8333
000155,98.1086,-1.2500
000156,-200,-200
000157,49.2208,118.2829
000158,45.6579,14.0340
000159,13.8224,111.2561
000166,-200,-200
000301,-7.8221,116.3619
000333,-200,-200
000338,10.4619,20.8994
000400,40.8346,1.8209
000401,50.7994,69.4989
000402,-2.4138,90.3782
000403,-200,-200
000404,68.9408,3.9179
000407,26.9231,50.9434
000408,21.8837,29.6230
000409,15.1515,70.3226
000410,-14.8750,54.3146
000411,66.2469,-6.3679
000413,36.6612,11.9048
000415,31.8421,3.6835
000416,22.5941,23.9948
000417,26.7838,69.7384
000418,94.7886,15.8134
000419,-0.5236,53.8067
000420,77.5671,20.3422
000421,31.4702,18.4173
000422,66.0173,68.4600
000423,24.6554,93.0094
000425,81.6327,-10.0587
000426,92.7711,-4.4346
000428,-2.5788,9.5417
000429,28.9981,8.5795
000430,31.9477,4.9875
000488,85.2064,-1.5913
000498,113.8504,-21.8615
000501,49.3195,11.9176
000502,126.7409,-7.3548
000503,6.9282,-7.1318
000504,30.1714,0.0000
000505,25.6131,143.4494
000506,-200,-200
000507,9.5156,14.5760
000509,134.1102,-14.1818
000510,24.2388,5.6693
000511,8.0751,70.9570
000513,85.2814,83.3333
000514,-15.9970,131.7232
000516,22.9320,9.4891
000517,-200,-200
000518,51.3636,-13.7255
